Codes;Name
VAAH;AHMEDABAD
VAAU;AURANGABAD
VABB;CHHATRAPATI SHIVAJI INT'L AIRPORT, MUMBAI
VABO;VADODARA
VABP;RAJA BHOJ AIRPORT, BHOPAL
VABV;BHAVNAGAR
VAID;INDORE
VAJB;JABALPUR
VAJL;JALGAON
VAKE;KANDLA
VAKS;KESHOD
VANP;DR BABA SAHEB AMBEDKAR INTERNATIONAL , NAGPUR
VAOZ;OZAR
VAPR;PORBANDAR
VARK;RAJKOT
VASU;SURAT
VAUD;UDAIPUR
VEAT;AGARTALA
VEBI;BARAPANI
VEBN;LAL BAHADUR SHASTRI AIRPORT, VARANASI
VEBS;BHUBANESWAR AIRPORT
VECC;KOLKATA
VEDG;DURGAPUR
VEGT;GUWAHATI
VEGY;GAYA
VEIM;IMPHAL
VEKO;KHAJURAHO
VELP;LENGPUI
VELR;LILABARI
VEMN;DIBRUGARH
VEMR;DIMAPUR
VEPT;PATNA- JAI PRAKASH NARAYAN INTERNATIONAL AIRPORT
VERC;BIRSA MUNDA AIRPORT, RANCHI
VERP;SWAMI VIVEKANANDA AIRPORT, RAIPUR
VIAR;Sri Guru Ram Dass Jee International Airport, Amritsar
VIBR;KULLU MANALI
VIDD;SAFDARJUNG
VIDN;DEHRADUN
VIDP;INDIRA GANDHI INTERNATIONAL AIRPORT,DELHI
VIGG;KANGRA
VIJP;JAIPUR
VIKG;KISHANGARH
VILD;LUDHIANA
VILK;CHAUDHARY CHARAN SINGH AIRPORT, LUCKNOW
VIPT;PANTNAGAR
VISM;SHIMLA
VOAT;AGATTI
VOBG;HAL AIRPORT BENGALURU
VOBL;KEMPEGOWDA INTERNATIONAL AIRPORT, BENGALURU
VOBM;BELGAUM
VOBZ;VIJAYAWADA
VOCB;COIMBATORE
VOCI;COCHIN
VOCL;CALICUT
VOCP;KADAPA
VOHB;HUBLI
VOHS;RAJIV GANDHI INTERNATIONAL AIRPORT , SHAMSHABAD
VOHY;BEGUMPET, HYDERABAD
VOJV;JINDAL VIJAYANAGAR
VOMD;MADURAI
VOML;MANGALORE
VOMM;CHENNAI
VOMY;MYSORE
VOPC;PUDUCHERRY
VOPN;SRI SATHYA SAI
VORY;RAJAMUNDARY
VOSM;SALEM
VOTK;TUTICORIN
VOTP;TIRUPATI
VOTR;TIRUCHIRAPPALLI
VOTV;THIRUVANANTHAPURAM
